NodeCount;TTL1;TTL3;TTL5
10;85.9;264.6;444.6
20;110;497;897
30;110;640;1240
40;110;737;1517
50;110;849;1804
60;110;989.6;2143.6
70;110;1004.2;2262.8
80;110;1086.1;2470.6
90;110;1165.1;2746.1
100;110;1221;2952.3
200;110;1610.3;4480.2
